label,CPU0_cycles,CPU1_cycles,CPU2_cycles,CPU3_cycles,CPU4_cycles,CPU5_cycles,CPU6_cycles,CPU7_cycles,CPU8_cycles,CPU9_cycles,CPU10_cycles,CPU11_cycles,elapsed_time,VmSize,VmRSS,VmData,VmStk,VmExe,VmLib,VmPTE
DSA,67664814,67663321,67722822,23228095,23223819,23217814,23222940,23207597,23198776,23192546,23187802,16987637,0.005125483,9904.0,2944.0,248.0,132.0,2308.0,4224.0,56.0
Dilithium,63756387,63801346,63798872,63802110,63802225,63792813,26419709,26370454,22123874,22050406,20376784,18170334,0.005518492,9904.0,4224.0,248.0,132.0,2308.0,4224.0,64.0
SPHINCS,5388534380,5377571065,5377570436,5377585995,5377574239,5376689762,5376722341,5338976910,5338952255,5338945497,5338941923,5338923670,1.634112858,10453.57142857143,5658.417582417583,797.3736263736264,132.0,2284.6593406593406,4185.0989010989015,63.64835164835165
Falcon,78549742,78568737,78598166,78625300,78641910,78663178,78682667,78696276,78708791,78719873,78739632,78748930,0.02435903,10464.0,6016.0,808.0,132.0,2308.0,4224.0,64.0
DSA,17971201,18010032,18079841,18106637,18156717,18196293,18206915,18213305,18237619,18249859,18289405,18310383,0.005911074,9904.0,3456.0,248.0,132.0,2308.0,4224.0,64.0
SPHINCS,2021019634,2020564742,2020560284,2020438905,2019745504,2018061814,2017028932,2016900553,2013980311,2013034398,2013013369,2012986225,0.616538639,10459.29411764706,5874.016806722689,803.2941176470588,132.0,2308.0,4224.0,63.96638655462185
Falcon,97895392,93562352,93625090,65525477,52905369,53982163,52253858,52262851,45586970,44287786,44283850,44263120,0.013322043,10464.0,5888.0,808.0,132.0,2308.0,4224.0,64.0
SPHINCS,4731003904,4731042246,4731077366,4731134751,4715034971,4710852067,4706591336,4706229276,4705299879,4705294561,4705299194,4705279092,1.42735311,10463.204545454546,6010.0,807.2045454545455,132.0,2308.0,4224.0,63.99431818181818
SPHINCS,2358848293,2355339440,2354425016,2344360422,2332180558,2329374262,2327317004,2327304461,2327299728,2327291737,2327283266,2327275643,0.758199737,10460.215384615385,5970.892307692307,804.123076923077,132.0,2297.107692307692,4205.846153846154,67.81538461538462
SPHINCS,2862111924,2862121855,2859591070,2858576211,2858582931,2838494689,2838503927,2838493106,2838503455,2820683906,2814122967,2814095132,0.863500413,10460.55944055944,5847.888111888112,804.4755244755245,132.0,2298.097902097902,4207.4965034965035,63.83216783216783
