label,CPU0_cycles,CPU1_cycles,CPU2_cycles,CPU3_cycles,CPU4_cycles,CPU5_cycles,CPU6_cycles,CPU7_cycles,CPU8_cycles,CPU9_cycles,CPU10_cycles,CPU11_cycles,elapsed_time,VmSize,VmRSS,VmData,VmStk,VmExe,VmLib,VmPTE
bike,82063391,81316701,81314895,79958472,79956504,79374660,79059233,73586807,39745062,39695668,39672865,39624681,0.011965734,9094.857142857143,2336.0,450.2857142857143,231.42857142857142,556.0,2875.4285714285716,48.0
sike,239596534,237233731,237166168,237164601,234131208,234115738,234100307,234092111,234112173,221322243,214495231,201231910,0.062783756,653546.2857142857,1766.2857142857142,38197.142857142855,132.0,676.5714285714286,140.57142857142858,73.71428571428571
classic,1525529037,1525549245,1525556755,1525579005,1525578701,1488943524,1480172376,1480159081,1480141505,1480126886,1480115901,1480109315,0.451863401,9770.285714285714,6964.244897959184,1840.0,950.2857142857143,196.0,4224.0,67.83673469387755
kyber,88298238,75455046,75402432,71226476,70458052,69866324,60099188,56311770,56082057,56061678,37267203,37240525,0.011288254,702784.0,1408.0,40976.0,132.0,568.0,8.0,82.0
frodokem,131465177,131473094,87630047,87640488,87710154,87770982,87763480,87759467,87756082,87760275,87808949,87821405,0.025902161,7924.0,5068.8,780.0,148.0,220.0,4224.0,56.0
classic,1230832937,1230833792,1230851994,1230852093,1230864718,1230882903,1230876125,1230877787,1230886795,1230893883,1230897236,1216072846,0.379415003,9742.74074074074,6729.925925925926,1801.1851851851852,914.2222222222222,208.88888888888889,4180.2962962962965,63.629629629629626
bike,49299676,49288720,49290923,36356586,36328972,34784970,34757753,34711674,33052137,32951634,25089062,24393417,0.007864919,8914.0,2700.0,564.0,132.0,500.0,3044.0,52.0
ntruprime,88174077,88144068,86248560,85746078,61789251,23509095,18950977,18901395,18875311,18855723,18837093,18811299,0.006016988,8622.0,1860.0,278.0,132.0,500.0,3044.0,50.0
ntruprime,33984275,33995789,33996659,33982500,33973044,33432915,18562399,18509713,18507852,18480323,18454055,18421193,0.005571253,7272.0,4224.0,252.0,132.0,108.0,4224.0,56.0
hqc,242821503,242843327,242858755,242863771,242865684,242804075,242779819,242783904,242796309,231152977,231123057,231108836,0.072512118,7840.0,5344.0,824.0,132.0,108.0,4224.0,56.0
bike,38831229,38859621,38867686,38867062,38875266,38863874,38873256,38892618,38902657,38907820,38915704,38919051,0.011479339,7930.666666666667,4864.0,645.3333333333334,369.3333333333333,108.0,4224.0,62.666666666666664
bike,65668474,65649110,65638795,65663654,58580688,58559128,58541923,58524985,57628202,39911630,39697994,39642817,0.012647383,8135.2,5606.4,805.6,413.6,108.0,4224.0,56.0
sike,168614104,168627722,168647354,168660536,168670342,168673952,168686407,160894881,160642887,160633694,156993344,154957998,0.047248482,703028.7272727273,1861.8181818181818,41088.72727272727,132.0,660.0,8.0,80.0
hqc,701335812,701365788,701389637,701413217,701435099,701451786,701480808,701503531,701529335,701552280,697033711,696527801,0.226900973,7892.631578947368,5376.0,836.0,164.6315789473684,108.0,4224.0,60.0
ecdh,84655467,84682009,84711455,84730541,84738444,84749835,84763860,84759639,84779822,84791999,84805172,84810479,0.025748459,8285.333333333334,3293.3333333333335,465.3333333333333,132.0,300.0,3437.3333333333335,52.0
sike,513876525,513072496,513114857,513119665,513126573,513122145,513093581,513092509,485439564,479936056,479906144,479271743,0.148938082,684034.4444444445,1849.5555555555557,40213.11111111111,132.0,666.4444444444445,59.55555555555556,82.77777777777777
hqc,477093534,477142087,477153571,477169813,477185820,477216071,477228063,477241381,477255357,477271187,477284091,477289155,0.146641398,7870.0,5301.333333333333,812.6666666666666,165.33333333333334,108.0,4224.0,59.833333333333336
bike,74479262,57996083,57927765,54182773,53309887,48455966,48412583,48403299,47348233,40218981,32264235,26367204,0.008789093,7856.0,5248.0,824.0,132.0,108.0,4224.0,60.0
sike,140208396,140234209,140258141,140268116,140284658,140283709,140292208,140315986,140339430,140359606,140383216,140396653,0.042715015,703244.0,1802.6666666666667,41304.0,132.0,660.0,8.0,80.0
