label,CPU0_cycles,CPU1_cycles,CPU2_cycles,CPU3_cycles,CPU4_cycles,CPU5_cycles,CPU6_cycles,CPU7_cycles,CPU8_cycles,CPU9_cycles,CPU10_cycles,CPU11_cycles,elapsed_time,VmSize,VmRSS,VmData,VmStk,VmExe,VmLib,VmPTE
Dilithium5.out,42234728,42127864,42130647,22999667,21573545,21525917,21511495,21499950,17424933,17403497,17370376,17354012,0.005591343,9904.0,4224.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,59723462,59739671,59726028,23947425,23988754,24008414,19563772,19292337,17674557,17655863,17640839,17622644,0.005331528,3248.0,256.0,32.0,132.0,2308.0,176.0,40.0
Dilithium5.out,75089745,75121297,66321227,25017863,25027176,25025232,20859943,20841460,18845154,18842323,18836613,18815633,0.005721357,9904.0,4224.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,64505438,64426877,58940703,36296482,36283198,36266894,36262973,24182512,17197545,17152581,17129703,17100578,0.005481365,10332.0,4992.0,676.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,72653004,72562842,72607670,34512820,34236162,34242210,34320267,21947684,17936801,17903733,17897086,17807212,0.005680321,9904.0,3584.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,52045427,52064973,52070944,52055058,52049007,18418431,18381944,18374828,18369012,18346043,18293717,18272687,0.005516174,9904.0,3584.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,79447120,79460963,69246068,29630516,26042578,19953145,19894653,19905196,19896643,19885144,19843583,19858248,0.006445538,9904.0,3584.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,43919495,43893416,43885598,31723866,31716072,22280670,19287448,19253957,17838411,17813324,17782208,17748999,0.005652176,10184.0,4544.0,528.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,75483579,67928657,63246629,63252036,63196886,20440137,20401827,20392654,20380890,20369905,20358071,20356526,0.006256719,9840.0,1920.0,124.0,132.0,2308.0,4224.0,56.0
Dilithium5.out,26929301,27003807,27023178,27025250,26660467,19233975,19201967,19186853,18486253,18475787,18472197,18466957,0.005694129,9772.0,2176.0,116.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,64825754,64856729,63694875,63711016,63694937,27049035,19551990,19506150,18130433,18111093,18100585,18083261,0.005634224,9904.0,3456.0,248.0,132.0,2308.0,4224.0,56.0
Dilithium5.out,34722152,34717204,34726503,34722754,34710562,22886949,20268870,19470599,18110091,18090926,18106755,18085131,0.005724085,9904.0,3456.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,62589839,62608619,62130406,62140606,62145316,19433614,18674972,18680250,18670605,18646985,18624859,18610204,0.005754461,9904.0,3456.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,44837082,41797549,34422349,34399587,34381463,17662693,17629338,17612903,17602394,17583006,17569242,17558292,0.005508295,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,17528765,17541535,17548316,17558814,17569258,17591180,17607422,17622138,17623454,17630987,17664055,17673682,0.005895002,9904.0,3456.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,63216142,63201910,61663715,61659198,61613502,55733943,50465402,50410304,46475190,20384534,17660615,17626395,0.00566033,9904.0,3072.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,17113282,17135950,17155176,17170325,17173636,17178344,17187198,17192197,17206879,17208091,17199095,17201985,0.005216274,9840.0,1792.0,492.0,132.0,2308.0,4224.0,56.0
Dilithium5.out,60795018,60800718,55755902,55744087,18415468,18377052,18356809,18339964,18337605,18326439,18310392,18296228,0.005859766,9904.0,4096.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,78828885,78856584,78865641,78879970,64401537,62403221,18946294,18894391,18900336,18897948,18894578,18888670,0.005934112,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,17522685,17513096,17511139,17513868,17522049,17531076,17525361,17518882,17514193,17514291,17517435,17537554,0.005439614,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,21358364,21363442,21383797,21406934,21395188,21417226,21416999,21414721,21426972,21444006,20853232,21489150,0.006300605,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,61450070,61473693,61476678,61477786,20379575,20363636,20349162,20360348,20348839,20371709,20362075,20371785,0.006227224,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,18038266,18056337,18095926,18154469,18177248,18193950,18203420,18211709,18215266,18217847,18225624,18237232,0.005651987,10180.0,4864.0,524.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,33607636,33626792,33620047,33613121,18450996,18453325,18435454,18461449,18411476,18402237,18396698,18390131,0.005736384,9904.0,3456.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,55853520,55857075,55851046,55882953,19263526,19221066,19208271,19150497,19139913,19124993,19149389,19145741,0.005796303,10184.0,5056.0,528.0,132.0,2308.0,4224.0,58.0
Dilithium5.out,55852294,55868080,55858612,55670851,18830490,18635305,18655545,18636600,18129350,18124092,18102035,18113024,0.005738742,9904.0,3584.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,66124410,65810531,65824959,72971379,95170006,92578173,92578049,92571850,92455014,65884286,67315131,69359088,0.020977531,0,0,0,0,0,0,0
Dilithium5.out,77031511,77026287,77025734,77012310,44445591,39506845,34679728,32639207,30783542,20284048,18262876,17432546,0.005528607,10464.0,6016.0,808.0,132.0,2308.0,4224.0,56.0
Dilithium5.out,62015884,62021067,58294562,58277399,30217413,24250266,24208230,24193638,21953456,18571788,18520400,18360543,0.006108487,9904.0,4224.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,67344200,68243826,68267196,68359775,48362248,45518088,46169750,46232209,43320064,48929314,47972530,47966314,0.015660087,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,54329521,54336649,54334730,54013149,54011936,54011675,54020631,54023922,54012148,24441578,22033154,22011151,0.006589573,9972.0,152.0,304.0,132.0,892.0,1864.0,44.0
Dilithium5.out,69284229,67782241,62505570,62503633,62453407,57919821,57882955,56794173,56428941,18449120,18409681,18390104,0.005738108,10184.0,4608.0,528.0,132.0,2308.0,4224.0,62.0
Dilithium5.out,53962189,53959467,53959815,53954412,53969037,53948632,53920425,53920317,53619214,17420207,17860164,17844360,0.005665974,0,0,0,0,0,0,0
Dilithium5.out,26519584,26568692,26568129,26569511,26538782,26593684,26645619,26656021,26665101,26697064,26732636,26745724,0.008406924,9904.0,4224.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,61446337,59882988,59846430,59810422,59407789,59399729,59374322,58777446,56981102,19701029,19631464,19604968,0.006015405,10184.0,4800.0,528.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,58277780,57566156,57558566,57544810,57531994,57535153,57555794,57563882,57581785,17898407,17867117,17857238,0.005728545,9904.0,4224.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,85679112,85675588,82401029,86016664,86360662,59890682,71652184,68347808,64023711,71903602,72647099,73940499,0.024605576,10332.0,4992.0,676.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,62321643,62318240,52806721,52777015,52774723,53112913,32836343,32822838,32826073,20707431,20702467,20685239,0.006482517,9828.0,512.0,496.0,132.0,2308.0,4224.0,56.0
Dilithium5.out,28704235,28714052,28725675,28147078,28118509,27881461,20489843,17988908,17978803,17961751,17941490,17907705,0.005564535,9904.0,3456.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,61004569,60984220,60973362,60397660,60357064,64690714,46328022,46347713,47623348,47618467,47620853,45266769,0.013512841,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium5.out,73969721,73720232,70308870,37715848,36813735,36782258,25023841,19058709,18057700,18041674,17755124,17717827,0.005615162,9938.0,2890.0,276.0,132.0,1600.0,3044.0,62.0
Dilithium5.out,17271045,17286368,17306139,17327218,17379282,17402524,17434497,17449521,17458201,17463997,17482582,17477415,0.005573223,9904.0,4224.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,31138811,31127852,31134816,31140980,31146155,31160767,24704783,24682647,23015128,23045988,17692807,17461206,0.005165066,9904.0,3456.0,248.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,22521232,22528932,22564594,22616524,22625748,22611871,51050595,51254204,52042211,52724132,52755323,57290118,0.017928739,10464.0,6016.0,808.0,132.0,2308.0,4224.0,64.0
Dilithium5.out,65330108,65305147,65002749,33783399,33739674,31975837,29536474,20423006,17447644,17367016,17345450,17319975,0.005564724,9972.0,856.0,304.0,132.0,892.0,1864.0,48.0
Dilithium5.out,67134222,64896517,64398603,61969553,61961332,61925088,18500643,17934942,17910459,17881154,17871578,17871959,0.005531346,9938.0,2188.0,276.0,132.0,1600.0,3044.0,50.0
Dilithium5.out,80070997,80115039,80117486,47494950,38228552,38064517,34963031,30799338,30209089,23520243,23482255,17533666,0.005360992,9904.0,4224.0,248.0,132.0,2308.0,4224.0,56.0
